字段分组,字段名,字段类型,字段类型范围,默认值,可选Format,shape,说明
INPUT,context,tensor,INT32,N/A,ND,"(xx,)",context信息
INPUT,x,tensor,"BF16,FP16,FP8_E5M2,FP8_E4M3,HIF8,FP4_E2M1,FP4_E1M2",N/A,ND,"(bs,h)","输入的hidden_states,二维tensor。一个die输入bs个tokens，每个token长度为h"
INPUT,expert_ids,tensor,INT32,N/A,ND,"(bs,k)","输入的topK专家id，值为Moe的rankId，即[shared_expert_rank_num,world_size]，二维tensor。指的是bs个token每个token发给指定的k个专家"
INPUT,expert_scales,tensor,"FP32,BF16",N/A,ND,"(bs,k)",专家权重
INPUT,weight1,tensorList,BF16/FP16/FP8_E5M2/FP8_E4M3,N/A,ND,"(expertPerRank, H, N)",dispatchGmm计算的右矩阵，即moe专家和共享专家的权重，共享专家权重在前。
INPUT,weight2,tensorList,BF16/FP16/FP8_E5M2/FP8_E4M3,N/A,ND,"(expertPerRank, N/2, N)",gmmCombine计算的右矩阵，即moe专家和共享专家的权重，共享专家权重在前。
OPTIONEAL_INPUT,scales,tensor,"FP32,FP8_E8M0",N/A,ND,"(SHARED_EXPERT_NUM+MOE_EXPERT_NUM, H)",可选smooth参数，非量化不传；动态量化可不传入，传入场景的数据排布顺序为共享专家共有的一行scale+每个moe专家对应scale，二维tensor。
OPTIONEAL_INPUT,x_active_mask,tensor,BOOL,N/A,ND,"(BS,),(bs,k)",一维或二维 mask值 false的不需要发送
OPTIONEAL_INPUT,weight_scales1,tensorList,"FP32,FP8_E8M0",N/A,ND,"(expertPerRank, N, H/32)",可选输入，量化场景需要，dispatchGMM右矩阵反量化参数，包含moe专家和共享专家的scale
OPTIONEAL_INPUT,weight_scales2,tensorList,"FP32,FP8_E8M0",N/A,ND,"(expertPerRank, H, N/2/32)",可选输入，量化场景需要，gmmCombine右矩阵反量化参数，包含moe专家和共享专家的scale
OUTPUT,y,tensor,"BF16,FP16",N/A,ND,"(bs,h)",计算输出结果
,,,,,,,
REQUIRED_ATTR,ep_world_size,int,int,,,,ep域大小
REQUIRED_ATTR,ep_rank_id,int,int,,,,ep域编号
REQUIRED_ATTR,moe_expert_num,int,int,,,,moe专家
REQUIRED_ATTR,ccl_buffer_size,int,int,,,,HCCL通信内存大小
ATTR,max_recv_token_num,int,int,0,,,alltoall接收的最多的token数，0表示使用默认值，内部自行按最大值计算
ATTR,shared_expert_num,int,int,1,,,共享专家数
ATTR,dispatch_quant_mode,int,int,0,,,dispatch通信时量化模式，0表示非量化
ATTR,dispatch_quant_out_type,int,int,ge:DT_UNDEFINED,,,量化时。量化后输出的数据类型
ATTR,combine_quant_mode,int,int,0,,,combine通信时量化模式，0表示非量化
ATTR,comm_alg,int,int,"""""",,,通信亲和内存布局算法
ATTR,global_bs,int,int,0,,,ep域全局的globalbs大小，若为0，则认为global_bs= BS*ep_world_size
